Date	Q	M_Debit_x	"	P"	M_Debit_y
1923-11-29	0.5337049443923356	0.97	0.0	0.7
1923-11-30	0.5337049443923356	0.94	0.0	0.48
1923-12-01	0.5093930054937693	0.18	0.0	0.65
1923-12-02	0.48623877797132525	0.67	1.2	0.22
1923-12-03	0.4746616642101032	0.13	0.0	0.72
1923-12-04	0.4746616642101032	0.08	0.0	0.3
1923-12-05	0.4746616642101032	0.19	0.0	0.73
1923-12-06	0.46308455044888114	0.22	0.0	0.25
1923-12-07	0.4422457456786816	0.16	0.0	0.71
1923-12-08	0.43182634329358166	0.67	0.0	0.99
1923-12-09	0.42140694090848185	0.67	0.0	0.39
1923-12-10	0.41098753852338205	0.61	0.0	0.14
1923-12-11	0.41098753852338205	0.8	0.0	0.65
1923-12-12	0.40056813613828224	0.38	0.0	0.06
1923-12-13	0.39014873375318243	0.77	0.0	0.99
1923-12-14	0.39014873375318243	0.3	0.0	0.86
1923-12-15	0.39014873375318243	0.58	0.0	0.75
1923-12-16	0.37972933136808257	0.19	0.0	0.77
1923-12-17	0.3693099289829827	0.12	0.0	0.23
1923-12-18	0.3693099289829827	0.93	0.0	0.99
1923-12-19	0.39014873375318243	0.16	0.0	0.87
1923-12-20	0.37972933136808257	0.46	0.0	0.69
1923-12-21	0.3693099289829827	0.46	0.0	0.95
1923-12-22	0.3693099289829827	0.79	0.0	0.42
1923-12-23	0.3588905265978829	0.47	0.0	0.88
1923-12-24	0.3484711242127831	0.12	0.0	0.07
1923-12-25	0.3380517218276832	0.69	0.0	0.47
1923-12-26	0.32879003081870567	0.22	0.0	0.88
1923-12-27	0.31952833980972806	0.95	0.0	0.28
1923-12-28	0.31952833980972806	0.21	0.0	0.6
1923-12-29	0.31952833980972806	0.51	0.0	0.76
1923-12-30	0.31026664880075044	0.51	0.0	0.33
1923-12-31	0.3010049577917728	0.92	0.0	0.89
1924-01-01	0.28363928714993975	0.09	0.0	0.23
1924-01-02	0.28363928714993975	0.73	0.0	0.28
1924-01-03	0.2755353075170843	0.0	0.0	0.91
1924-01-04	0.2674313278842289	0.6	0.0	0.23
1924-01-05	0.2674313278842289	0.54	0.0	0.51
1924-01-06	0.2674313278842289	0.63	26.0	0.73
1924-01-07	0.3380517218276832	0.06	2.0	0.37
1924-01-08	0.3380517218276832	0.33	2.7	0.83
1924-01-09	0.31952833980972806	0.99	0.0	0.79
1924-01-10	0.31026664880075044	0.82	0.0	0.41
1924-01-11	0.3010049577917728	0.2	0.0	0.01
1924-01-12	0.3010049577917728	0.38	0.0	0.29
1924-01-13	0.25932734825137344	0.84	0.0	0.17
1924-01-14	0.251223368618518	0.36	0.0	0.91
1924-01-15	0.251223368618518	0.67	0.0	0.65
1924-01-16	0.24311938898566263	0.47	0.0	0.13
1924-01-17	0.24311938898566263	0.82	0.0	0.29
1924-01-18	0.23501540935280718	0.88	0.0	0.53
1924-01-19	0.23501540935280718	0.58	0.0	0.43
1924-01-20	0.23501540935280718	0.89	0.0	0.21
1924-01-21	0.2269114297199518	0.74	0.0	0.96
1924-01-22	0.21880745008709634	0.85	0.0	0.15
1924-01-23	0.21880745008709634	0.73	0.0	0.7
1924-01-24	0.21880745008709634	0.81	0.0	0.93
1924-01-25	0.21880745008709634	0.45	0.0	0.36
1924-01-26	0.21880745008709634	0.99	0.0	0.55
1924-01-27	0.21880745008709634	0.76	0.0	0.18
1924-01-28	0.21070347045424093	0.3	0.0	0.26
1924-01-29	0.21070347045424093	0.4	0.0	0.92
1924-01-30	0.21070347045424093	0.0	0.0	0.52
1924-01-31	0.20375720219750776	0.04	0.0	0.33
